(4032, 5.0177514792899416, '8733222111111')
(12096, 4.828402366863906, '8733322211111')
(28224, 6.1538461538461542, '8773322211111')
(72576, 5.3017751479289936, '8763332221111')
(145152, 5.053254437869823, '8763332222111')
(145152, 5.053254437869823, '8763332222111')
(225792, 7.4792899408284041, '8877332221111')
(279936, 9.1360946745562117, '9986332221111')
(290304, 4.7928994082840237, '8763332222211')
(373248, 6.2366863905325438, '9863332222211')
(559872, 8.8994082840236697, '9986433221111')
(604800, 3.6213017751479288, '7655443322111')
(677376, 9.5384615384615383, '9887732221111')
(967680, 5.005917159763313, '8765443322111')
(1008000, 3.0059171597633139, '7555443322211')
(1105920, 6.177514792899407, '8866543222111')
(1119744, 8.5325443786982227, '9986433222111')
(1119744, 10.130177514792898, '9988633221111')
(1492992, 7.5147928994082838, '9886333222211')
(1658880, 7.8461538461538458, '9886543222111')
(1866240, 8.5325443786982262, '9986543222111')
(1959552, 9.2544378698224854, '9987643321111')
(1959552, 9.2544378698224854, '9987643321111')
(2016000, 3.4674556213017755, '7655544322211')
(2177280, 7.9171597633136104, '9976544222111')
(2239488, 8.1538461538461533, '9986433222211')
(2419200, 3.1597633136094672, '7655444332211')
(2419200, 4.8994082840236688, '8765544332111')
(2709504, 8.7928994082840237, '9887743222111')
(3024000, 5.2071005917159763, '9755544322211')
(3225600, 3.1360946745562135, '7655444432211')
(3265920, 3.8698224852071004, '7666543332211')
(3359232, 7.9171597633136104, '9986433322211')
(3612672, 7.443786982248521, '8877664421111')
(3628800, 5.2307692307692308, '8766554332111')
(3628800, 5.2307692307692308, '8766554332111')
(4199040, 9.3136094674556205, '9996654222111')
(4214784, 7.775147928994083, '8877764421111')
(4741632, 8.4023668639053248, '9877764421111')
(4898880, 9.6331360946745548, '9997654222111')
(5000940, 5.1479289940828412, '7776653333111')
(5334336, 9.0177514792899398, '9977764421111')
(5419008, 7.6331360946745557, '8877666421111')
(6193152, 7.3609467455621296, '9887443222221')
(6718464, 7.5147928994082829, '9986433322221')
(6718464, 9.0059171597633139, '9988633322211')
(6718464, 9.0059171597633139, '9988633322211')
(7257600, 5.6686390532544371, '9766554422211')
(7741440, 6.1775147928994079, '8876654322211')
(9289728, 7.1005917159763312, '9887443322221')
(9797760, 8.4023668639053248, '9987654332111')
(9797760, 9.1597633136094672, '9997654422111')
(9797760, 9.1597633136094672, '9997654422111')
(9922500, 5.7159763313609471, '9775555332211')
(9953280, 7.3136094674556213, '9886654322211')
(10584000, 5.5621301775147929, '9775554432211')
(10668672, 8.5443786982248522, '9977764422111')
(13063680, 4.7928994082840237, '8766654333211')
(13063680, 7.3254437869822482, '9976654422211')
(13230000, 5.5976331360946752, '9775555432211')
(14155776, 8.8520710059171606, '9888844322211')
(17418240, 4.6390532544378695, '8766654332221')
(19595520, 8.3313609467455603, '9987665432111')
(20155392, 6.828402366863906, '9986433332222')
(24385536, 9.3609467455621278, '9988774322211')
(24494400, 5.7869822485207099, '9766665532211')
(24883200, 4.9822485207100593, '9865544433221')
(25401600, 5.7869822485207099, '9776655442211')
(26127360, 4.3668639053254443, '8766654333221')
(27869184, 5.6331360946745566, '8876664332221')
(27869184, 9.7633136094674544, '9988874322211')
(28449792, 7.4437869822485201, '9977744442211')
(28449792, 7.4437869822485201, '9977744442211')
(28449792, 7.4437869822485201, '9977744442211')
(30481920, 6.4023668639053248, '9877654332221')
(30965760, 6.6745562130177518, '8887665432211')
(31104000, 5.4792899408284024, '9866555443211')
(32514048, 6.7455621301775137, '8877666642111')
(32514048, 7.1597633136094663, '9887744332221')
(33177600, 4.8520710059171597, '9865544443221')
(33177600, 4.8520710059171597, '9865544443221')
(36578304, 8.4378698224852062, '9997744442211')
(37158912, 6.7100591715976341, '9887644322222')
(37158912, 7.1479289940828403, '8887666642111')
(39191040, 7.7633136094674562, '9987665443111')
(40642560, 7.1360946745562126, '9887754332221')
(42467328, 8.3786982248520712, '9888864432211')
(42674688, 7.5147928994082829, '9977764442211')
(42865200, 7.8224852071005904, '9987755333211')
(44789760, 7.0532544378698212, '9886666532211')
(50803200, 5.2899408284023668, '9776655444211')
(53747712, 7.5976331360946725, '9988643332222')
(55738368, 6.7928994082840237, '9887664432221')
